text,label
The tutorial is not enough to prepare new players for ranked. The skill gap is massive.,negative
"Game freezes every time I enter the lobby after a match. Known bug, still not fixed.",negative
Finally tried out Splat Zones after avoiding it and honestly it's my new favorite mode.,positive
The weapon balance is in such a bad state. Chargers dominate every open map.,negative
This game has the potential to be the best shooter ever but Nintendo holds it back.,negative
How do you get the golden badge for a weapon? What's required?,neutral
What exactly does the 'special gauge' meter affect outside of the obvious?,neutral
The weapon variety in this game is unmatched. Every playstyle is viable if you learn it.,positive
Any advice for going up against teams that stack Tri-Stringers?,neutral
Tips for learning how to use a charger? I keep missing close-range shots.,neutral
I genuinely feel like certain weapons are pay to win vibes with how overpowered the meta is.,negative
Splatoon 3 soundtrack is genuinely one of the best game OSTs I've ever heard.,positive
What are the best stages for Slosher weapons currently?,neutral
I love how expressive this game lets you be with gear combinations. True fashion.,positive
This game has such a distinct identity. There's truly nothing else like Splatoon.,positive
Lost a ranked match because of a 1-second lag spike at the worst moment. Infuriating.,negative
Why did they nerf the Splattershot Pro again? It was barely usable as is.,negative
Is there a tier list for weapons in the current meta? Looking for something to study.,neutral
The new catalog theme is adorable and I'm here for every bit of it.,positive
Teammates in B rank play worse than bots. I have no idea how some of these people got there.,negative
Best Nintendo multiplayer game since Smash Bros in my opinion. Completely hooked.,positive
Is it worth grinding catalog before the season ends or just let it go?,neutral
Stage hazards are sometimes unfair and clearly not playtested enough.,negative
The devs really outdid themselves with this season's gear designs. My squid looks fire.,positive
The netcode in this game is genuinely terrible and Nintendo refuses to acknowledge it.,negative
Does amiibo gear have any functional gameplay benefit or is it purely cosmetic?,neutral
Clam Blitz is genuinely the worst ranked mode. Why does it still exist.,negative
Why is there still no voice chat built into the game natively? It's 2024.,negative
Got matched with an absolute monster S+50 player who carried us so hard. Inspirational honestly.,positive
The new special weapon is so overtuned it's not even funny. Get hit once and you're done.,negative
Best way to use Inkjet without getting immediately splatted?,neutral
How many ability slots does each gear piece have maximum?,neutral
I got kicked from a Salmon Run lobby for being too low level. Elitist community at times.,negative
How does overtime trigger in ranked modes? Can't figure out the rule.,neutral
Just realized you can do a squid surge on certain walls and now I feel like a pro.,positive
What's a good build for Rapid Blaster in ranked? Looking for ability combos.,neutral
The in-game shop prices are way too high for cosmetics. Nintendo is greedy.,negative
Does playing with friends in ranked affect your matchmaking pool?,neutral
Season pass content has been consistently great. They really care about this game.,positive
The new Chill Season weapons are actually so fun to use. Big Swig Roller enjoyers eating good rn,positive
The lag compensation is so bad. I clearly hit them but got splatted through the wall.,negative
Has the online quality improved since launch? Thinking about coming back.,neutral
The game desperately needs a training mode with actual mechanics practice.,negative
The Splatoon community events are always so wholesome. Best fanbase in gaming.,positive
Explo-slosher is so annoying to fight against. Needs an immediate nerf.,negative
What is the highest rank anyone has ever achieved in Splatoon 3?,neutral
What's the difference between the two types of Salmon Run bosses in terms of strategy?,neutral
Started playing ranked again and my muscle memory just came back. Like riding a bike.,positive
What's the difference between S and S+ in ranked? Is it a big skill jump?,neutral
How many Salmon Run shifts does it take to reach the highest proficiency rank?,neutral
Does the game have any tools to review past matches?,neutral
Online subscription paywall for a game I already paid full price for is criminal.,negative
The way this game handles competitive play vs casual play is really well balanced.,positive
Just got the rare capsule after like 200 Salmon Run shifts. Worth the wait honestly.,positive
New hairstyle options in the update are amazing. Finally got the one I wanted.,positive
Salmon Run is the most fun I've had in a multiplayer game in years. No cap.,positive
Finally beat the single player campaign and wow the story hit different at the end. No spoilers but wow.,positive
The stamina bar idea for future modes sounds terrible. Stop copying other games.,negative
Is motion control better or worse than stick for competitive play?,neutral
Splatoon has the best community art I've ever seen. Twitter/X is always full of bangers.,positive
Best sub weapon for a Roller main? I keep switching and can't decide.,neutral
What are the ranked season milestones and what do you get for reaching them?,neutral
What's the best way to learn positioning in ranked modes?,neutral
"Just hit 100 star on my main weapon. The grind was worth it, feels like a milestone.",positive
Is there any difference in competitive viability between Inkling and Octoling?,neutral
The squid roll mechanic completely opened up the game for me once I learned it properly.,positive
Played my first X Battle and managed to hold my own. Felt amazing.,positive
The new lobby music slaps every single time. Nintendo music team is undefeated.,positive
I've been hardstuck A- for three weeks. The ranked system feels completely broken.,negative
How do I set up motion controls for handheld vs docked mode separately?,neutral
My little sister started playing Splatoon with me and she's already obsessed. Best co-op experience.,positive
The chill vibes of Turf War are exactly what I needed after a long day. This game is therapy.,positive
Any tips for managing ink more efficiently in Turf War?,neutral
